FbID,CG number,NAME,SYMBOL,HippoRNAi_EggL_Day_1_Egg_Count,HippoRNAi_EggL_Day_1_Egg_Zscore,HippoRNAi_EggL_Day_2_Egg_Count,HippoRNAi_EggL_Day_2_Egg_Zscore,HippoRNAi_EggL_Day_3_Egg_Count,HippoRNAi_EggL_Day_3_Egg_Zscore,HippoRNAi_EggL_Day_4_Egg_Count,HippoRNAi_EggL_Day_4_Egg_Zscore,HippoRNAi_EggL_Day_5_Egg_Count,HippoRNAi_EggL_Day_5_Egg_Zscore,HippoRNAi_EggL_All_Days_Egg_Sum_Count,HippoRNAi_EggL_All_Days_Egg_Sum_Zscore,EggL_Day_1_Egg_Count,EggL_Day_1_Egg_Zscore,EggL_Day_2_Egg_Count,EggL_Day_2_Egg_Zscore,EggL_Day_3_Egg_Count,EggL_Day_3_Egg_Zscore,EggL_Day_4_Egg_Count,EggL_Day_4_Egg_Zscore,EggL_Day_5_Egg_Count,EggL_Day_5_Egg_Zscore,EggL_All_Days_Egg_Sum_Count,EggL_All_Days_Egg_Sum_Zscore,HippoRNAi_Ova_OvarioleNb_Fly_1.1_Count,HippoRNAi_Ova_OvarioleNb_Fly_1.2_Count,HippoRNAi_Ova_OvarioleNb_Fly_2.1_Count,HippoRNAi_Ova_OvarioleNb_Fly_2.2_Count,HippoRNAi_Ova_OvarioleNb_Fly_3.1_Count,HippoRNAi_Ova_OvarioleNb_Fly_3.2_Count,HippoRNAi_Ova_OvarioleNb_Fly_4.1_Count,HippoRNAi_Ova_OvarioleNb_Fly_4.2_Count,HippoRNAi_Ova_OvarioleNb_Fly_5.1_Count,HippoRNAi_Ova_OvarioleNb_Fly_5.2_Count,HippoRNAi_Ova_OvarioleNb_Fly_6.1_Count,HippoRNAi_Ova_OvarioleNb_Fly_6.2_Count,HippoRNAi_Ova_OvarioleNb_Fly_7.1_Count,HippoRNAi_Ova_OvarioleNb_Fly_7.2_Count,HippoRNAi_Ova_OvarioleNb_Fly_8.1_Count,HippoRNAi_Ova_OvarioleNb_Fly_8.2_Count,HippoRNAi_Ova_OvarioleNb_Fly_9.1_Count,HippoRNAi_Ova_OvarioleNb_Fly_9.2_Count,HippoRNAi_Ova_OvarioleNb_Fly_10.1_Count,HippoRNAi_Ova_OvarioleNb_Fly_10.2_Count,HippoRNAi_Ova_OvarioleNb_Mean_Count,HippoRNAi_Ova_OvarioleNb_Std_Count,HippoRNAi_Ova_OvarioleNb_Mean_Zscore,PPI_betweenness_centrality,PPI_closeness_centrality,PPI_eigenvector_centrality,PPI_degree_centrality,HippoRNAi_Ova_Module,HippoRNAi_EggL_Module,EggL_Module,Core_Module,HpoOva_Connector,HpoEggL_Connector,EggL_Connector,Core_Connector,FGF_pathway,VEGF_pathway,Toll_pathway,JNK_pathway,EGF_pathway,mTOR_pathway,FOXO_pathway,SHH_pathway,Hippo_pathway,JAK/STAT_pathway,Wnt_pathway,Notch_pathway,TGF B_pathway,MAPK_pathway
FBgn0000180,CG4722,big brain,bib,59.0,0.2831,62.0,0.2505,14.0,-0.6203,16.0,0.4005,40.0,2.0561,191.0,0.6978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7051e-06,0.2708151268,0.0001102532,0.0003762581,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FBgn0000206,CG8285,bride of sevenless,boss,5.0,-8.4386,64.0,4.7361,27.0,-0.0216,7.0,-3.3534,17.0,0.2238,120.0,-3.1393,102.0,0.5179,106.0,2.2045,36.0,-0.5842,66.0,3.1937,42.0,0.6757,352.0,2.7036,21.0,17.0,19.0,19.0,20.0,21.0,18.0,17.0,19.0,17.0,21.0,18.0,21.0,19.0,17.0,19.0,16.0,19.0,18.0,24.0,19.0,1.9194297398747862,-0.8069,6.768e-07,0.2883945622,0.0004477633,0.0001881291,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FBgn0000212,CG5942,brahma,brm,90.0,1.2966,34.0,-0.4088,34.0,-0.9869,23.0,-0.2455,16.0,-0.7352,197.0,-0.1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013733523,0.356299099,0.0073140207,0.0086539366,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0000216,CG3096,Bearded,Brd,67.0,-1.7991,30.0,-2.7189,0.0,-2.9382,0.0,-4.839,0.0,-1.8897,97.0,-4.1505,76.0,-0.0207,68.0,0.0286,2.0,-5.2582,31.0,0.877,13.0,-2.1235,190.0,-1.1216,22.0,21.0,23.0,21.0,22.0,20.0,22.0,23.0,21.0,23.0,20.0,21.0,19.0,19.0,20.0,19.0,22.0,20.0,20.0,24.0,21.1,1.4832396974191324,0.2863,6.785e-06,0.2580662082,7.31574e-05,0.0001881291,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FBgn0000229,CG5680,basket,bsk,55.0,-1.709,88.0,1.0774,38.0,0.2527,14.0,-0.0357,15.0,-1.5436,210.0,0.1456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000730874,0.3385493333,0.0021956938,0.0039507102,False,False,False,False,False,False,False,False,0,0,0,1,0,0,1,0,1,0,1,0,0,1
FBgn0000250,CG5848,cactus,cact,61.0,-1.2014,40.0,-0.209,70.0,1.87,3.0,-1.0184,34.0,0.0,208.0,0.0936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008925021,0.3276127828,0.0024846494,0.0039507102,False,False,False,False,False,False,False,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0000259,CG15224,Casein kinase II beta subunit,CkIIbeta,1.0,-8.8669,0.0,-9.2968,0.0,-2.9382,0.0,-4.839,0.0,-1.8897,1.0,-8.3714,1.0,-1.5745,4.0,-3.636,3.0,-5.1207,4.0,-0.9101,2.0,-3.1853,14.0,-5.2772,15.0,18.0,16.0,11.0,16.0,9.0,20.0,13.0,13.0,13.0,17.0,17.0,14.0,18.0,17.0,17.0,21.0,16.0,12.0,13.0,15.3,3.0279400675428794,-2.7331,0.0021980828,0.3446110544,0.0057460174,0.008183614,True,True,True,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0000261,CG6871,Catalase,Cat,89.0,0.0195,67.0,1.02,51.0,0.3608,6.0,-1.5132,38.0,0.7658,251.0,0.5881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009318156,0.3336654834,0.0054797876,0.0054557426,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FBgn0000273,CG4379,"Protein kinase, cAMP-dependent, catalytic subunit 1",Pka-C1,59.0,-1.4464,9.0,-3.0884,4.0,-2.4657,3.0,-1.7654,6.0,-0.6425,81.0,-4.3614,168.0,1.4053,41.0,-0.0066,21.0,-0.673,8.0,-1.9172,2.0,-2.2124,240.0,0.325,20.0,21.0,21.0,19.0,20.0,20.0,23.0,19.0,20.0,19.0,21.0,20.0,24.0,24.0,23.0,22.0,22.0,18.0,19.0,21.0,20.8,1.7350868323485926,0.5657,0.0001298005,0.3282653573,0.002482,0.0018812906,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0,1,0,0,0
FBgn0000274,CG12066,"Protein kinase, cAMP-dependent, catalytic subunit 2",Pka-C2,72.0,0.692,94.0,1.538,44.0,-0.5031,28.0,0.0614,17.0,-0.6359,255.0,1.7255,169.0,1.4292,61.0,0.6583,24.0,-0.5153,8.0,-1.9172,33.0,2.2998,295.0,2.149,20.0,19.0,18.0,19.0,18.0,18.0,19.0,19.0,19.0,19.0,21.0,18.0,20.0,17.0,19.0,18.0,20.0,18.0,19.0,19.0,18.85,0.9333020044867296,-0.4059,0.0,0.2204122279,1.3504e-06,9.40645e-05,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0,1,0,0,0
FBgn0000352,CG1708,costa,cos,0.0,-4.3294,0.0,-3.7259,0.0,-2.7062,0.0,-2.0176,0.0,-0.9066,0.0,-6.7197,0.0,-2.6099,0.0,-1.3698,0.0,-1.7772,0.0,-2.6546,0.0,-2.5036,0.0,-7.6344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.1421,0.0002303381,0.3240894152,0.000949383,0.0027278713,True,True,True,True,False,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000382,CG3954,corkscrew,csw,88.0,1.083,75.0,0.729,6.0,-1.3646,14.0,-0.0357,45.0,0.8937,228.0,0.6138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005491206,0.3249381044,0.005753826,0.0032922585,False,False,False,False,False,False,False,False,1,0,0,0,1,0,0,0,0,1,0,0,0,1
FBgn0000405,CG3510,Cyclin B,CycB,91.0,1.3368,69.0,0.5682,21.0,-0.6065,7.0,-0.6611,40.0,0.4875,228.0,0.6138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019658859,0.3536587845,0.0028068985,0.0063963879,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FBgn0000463,CG3619,Delta,Dl,120.0,3.7904,82.0,0.9166,31.0,-0.1011,37.0,2.019,24.0,-0.8124,294.0,2.3304,121.0,2.8615,88.0,3.4174,67.0,6.919,37.0,1.5655,31.0,3.8144,344.0,4.6535,17.0,16.0,18.0,19.0,17.0,18.0,18.0,25.0,19.0,18.0,16.0,21.0,18.0,16.0,20.0,17.0,18.0,19.0,26.0,20.0,18.8,2.6675437154214006,-0.608,0.0004179313,0.3176761522,0.0031714109,0.0024456777,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FBgn0000489,CG6117,"Protein kinase, cAMP-dependent, catalytic subunit 3",Pka-C3,111.0,3.0289,69.0,0.5682,3.0,-1.5162,37.0,2.019,19.0,-1.2187,239.0,0.8999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62164e-05,0.2857071711,0.0003196266,0.0006584517,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0,1,0,0,0
FBgn0000490,CG9885,decapentaplegic,dpp,83.0,1.0614,63.0,0.5321,19.0,-1.7125,19.0,-0.491,13.0,-1.0333,197.0,-0.1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001760228,0.3090654026,0.0005870528,0.0023516132,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,1,0
FBgn0000499,CG18361,dishevelled,dsh,136.0,2.8417,17.0,-0.9605,65.0,0.5128,24.0,-0.1841,25.0,0.159,267.0,2.1222,148.0,0.9273,41.0,-0.0066,20.0,-0.7256,23.0,-0.5346,24.0,0.9898,256.0,0.8556,21.0,23.0,20.0,21.0,21.0,19.0,15.0,18.0,19.0,21.0,18.0,22.0,20.0,19.0,19.0,20.0,18.0,17.0,18.0,14.0,19.15,2.2070461326349626,-0.601,0.0017778887,0.3485629376,0.0034593433,0.0088420657,False,False,False,True,False,False,False,True,0,0,0,0,0,0,0,0,0,0,1,1,0,0
FBgn0000524,CG3929,deltex,dx,79.0,0.3215,67.0,0.5146,2.0,-1.5667,3.0,-1.0184,46.0,0.9749,197.0,-0.1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008747139,0.3364005336,0.0021489754,0.0055498072,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,1,0,0
FBgn0000533,CG4920,easter,ea,73.0,-0.1861,71.0,0.6218,30.0,-0.1516,20.0,0.5003,18.0,-1.2999,212.0,0.1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.39383e-05,0.2695279038,5.06136e-05,0.0009406453,False,False,False,False,False,False,False,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0000547,CG12676,echinoid,ed,0.0,-8.974,1.0,-9.0776,64.0,3.9752,84.0,12.989,86.0,8.802,235.0,1.917,33.0,-0.9115,31.0,-2.09,31.0,-1.2716,30.0,0.8108,33.0,-0.193,158.0,-1.8771,21.0,17.0,20.0,22.0,19.0,22.0,23.0,22.0,21.0,18.0,17.0,20.0,21.0,20.0,19.0,20.0,21.0,22.0,20.0,21.0,20.3,1.6575187543592473,0.6054,0.0024023464,0.3351818073,0.0023176968,0.0090301947,False,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0,1,0,0,0,0,0
FBgn0000575,CG1007,extra macrochaetae,emc,84.0,0.7445,86.0,1.0238,9.0,-1.213,27.0,1.1256,33.0,-0.0812,239.0,0.8999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001285551,0.3056617959,0.000475132,0.0020694196,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,1,1,0
FBgn0000591,CG8365,"Enhancer of split m8, helix-loop-helix",E(spl)m8-HLH,52.0,-1.9629,51.0,0.0858,44.0,0.5559,10.0,-0.3931,38.0,0.325,195.0,-0.2445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001440005,0.3148313761,0.0009634329,0.0028219358,False,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0,0,1,0,0
FBgn0000606,CG2328,even skipped,eve,74.0,-0.7134,88.0,2.5076,54.0,0.5412,3.0,-1.7654,37.0,0.7218,256.0,0.7337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.26117e-05,0.3081894027,0.0004906569,0.0013169034,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FBgn0000658,CG10917,four-jointed,fj,60.0,0.2889,58.0,0.3699,34.0,-0.9869,30.0,0.1841,29.0,0.5564,211.0,0.2711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67496e-05,0.3055112803,0.0007893496,0.0016931615,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0000808,CG1505,gastrulation-defective,gd,140.0,-0.3382,55.0,0.2594,27.0,0.3186,29.0,1.9817,23.0,2.4786,274.0,0.8175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.30844e-05,0.2766469752,0.0001512022,0.0004703226,False,False,False,False,False,False,False,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0001075,CG3352,fat,ft,32.0,-3.655,60.0,0.327,38.0,0.2527,15.0,0.0536,25.0,-0.7312,170.0,-0.8947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026896324,0.3471060992,0.0094546701,0.0089361302,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0001079,CG6551,fused,fu,64.0,-1.2021,49.0,-0.255,35.0,-0.6014,3.0,-1.7654,27.0,0.2817,178.0,-1.5373,160.0,3.186,65.0,0.3151,39.0,0.0757,18.0,-0.4529,25.0,-0.2804,307.0,1.5854,21.0,19.0,20.0,18.0,19.0,19.0,19.0,21.0,22.0,21.0,20.0,24.0,19.0,21.0,19.0,19.0,21.0,20.0,22.0,20.0,20.2,1.4363696929192156,-0.1822,0.000657395,0.3289410532,0.0014789853,0.0042329038,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0001085,CG17697,frizzled,fz,89.0,1.263,52.0,0.1752,39.0,-0.745,20.0,-0.4296,19.0,-0.4372,219.0,0.5355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003496672,0.3188863471,0.0011566519,0.0026338068,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0001122,CG2204,G protein alpha o subunit,Galphao,39.0,-2.4237,46.0,-0.4675,38.0,-0.421,19.0,-0.4203,11.0,-0.4225,153.0,-2.2651,181.0,1.716,51.0,0.3258,23.0,-0.5679,27.0,-0.1659,20.0,0.4076,302.0,2.3812,21.0,19.0,18.0,19.0,19.0,20.0,19.0,23.0,20.0,19.0,21.0,20.0,19.0,18.0,20.0,19.0,21.0,19.0,22.0,20.0,19.8,1.281446551034375,-0.1414,0.0005251746,0.3148877722,0.0019668017,0.0026338068,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0001137,CG17610,gurken,grk,64.0,0.4232,70.0,0.7593,32.0,-1.0836,37.0,0.6137,37.0,1.3512,240.0,1.2297,214.0,2.5047,63.0,0.7248,39.0,0.2734,30.0,0.1106,33.0,2.2998,379.0,4.9348,19.0,18.0,19.0,18.0,17.0,19.0,20.0,20.0,17.0,20.0,17.0,19.0,18.0,20.0,21.0,18.0,19.0,21.0,19.0,19.0,18.9,1.2096106376585984,-0.7778,0.0016554155,0.3435447031,0.0046933892,0.0063023234,False,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,1
FBgn0001139,CG8384,groucho,gro,76.0,-0.6157,36.0,-1.1759,34.0,-0.6615,4.0,-1.6813,35.0,0.6337,185.0,-1.3335,1.0,-2.586,0.0,-1.3698,0.0,-1.7772,0.0,-2.6546,0.0,-2.5036,1.0,-7.6012,13.0,12.0,22.0,22.0,5.0,10.0,12.0,10.0,19.0,21.0,20.0,20.0,10.0,12.0,11.0,9.0,22.0,21.0,8.0,11.0,14.5,5.633546139445666,-3.8891,0.0019198812,0.3350433904,0.0025838784,0.0068667106,True,False,True,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0,1,1,0,0
FBgn0001169,CG5460,Hairless,H,6.0,-5.8547,30.0,-0.4771,7.0,-1.314,8.0,-0.5717,8.0,-2.1124,59.0,-3.7817,2.0,-3.0148,41.0,-0.6763,37.0,0.5847,24.0,0.4974,26.0,0.5861,130.0,-1.5234,19.0,19.0,18.0,23.0,20.0,22.0,26.0,22.0,21.0,28.0,26.0,23.0,28.0,24.0,24.0,26.0,21.0,27.0,22.0,25.0,23.2,3.036618618064993,2.4494,7.10128e-05,0.3098371355,0.0005973921,0.0011287743,True,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FBgn0001235,CG17117,homothorax,hth,120.0,2.3043,89.0,1.3758,33.0,-1.0353,30.0,0.1841,35.0,1.1525,307.0,3.4444,106.0,1.6475,61.0,1.1271,31.0,0.0835,28.0,0.9948,33.0,1.7582,259.0,1.7383,13.0,10.0,6.0,10.0,12.0,10.0,14.0,16.0,12.0,9.0,14.0,18.0,12.0,15.0,18.0,12.0,10.0,13.0,11.0,11.0,12.3,2.9753372210469475,-5.4447,0.0011286167,0.3352137659,0.0056958091,0.006772646,True,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0
